states,observations
"(94, 0)","[96, 95, 84, 94, 85, 86]"
"(94, 90)","[86, 96, 81, 95, 83, 82, 84, 94, 80, 92, 85, 93, 76]"
"(94, 180)","[83, 90, 82, 84, 94, 92, 80, 93, 81, 76, 91]"
"(94, 270)","[96, 95, 94, 92, 93]"
"(95, 0)","[96, 95, 85, 86]"
"(95, 90)","[86, 96, 81, 95, 83, 82, 84, 94, 80, 85, 93, 76]"
"(95, 180)","[83, 90, 82, 95, 84, 94, 85, 92, 80, 93, 81, 76, 91]"
"(95, 270)","[96, 95, 94, 93]"
"(96, 0)","[96, 86]"
"(96, 90)","[86, 96, 81, 95, 83, 82, 84, 94, 80, 85, 76]"
"(96, 180)","[96, 83, 90, 82, 95, 84, 94, 85, 92, 80, 93, 86, 81, 76, 91]"
"(96, 270)","[96, 95, 94]"
